name,population,latitude,longitude,state,country,percentageOfSessions
Merkit,4959,40.30904,72.232668,Oš,Kyrgyzstan,
Temir,4956,42.70581,77.41696,Ycyk-Kôl,Kyrgyzstan,
Nurdar,4924,40.5863373,72.7793794,Oš,Kyrgyzstan,
Žapalak,4921,40.4915764,72.7684434,Oš City,Kyrgyzstan,
Vinogradnoe,4914,43.09785,74.5388,Čùj,Kyrgyzstan,
Žerge-Tal,4895,41.562668,71.825888,Žalal-Abad,Kyrgyzstan,
Anžyân,4881,40.55124,72.78019,Oš,Kyrgyzstan,
Kyzyl-Žol,4831,40.0431868,70.8083791,Batken,Kyrgyzstan,
Bel,4804,40.277699,72.477338,Oš,Kyrgyzstan,
Terek-Suu,4803,41.87322,72.689483,Žalal-Abad,Kyrgyzstan,
Taldy-Suu,4764,42.78659,78.49714,Ycyk-Kôl,Kyrgyzstan,
Kommunizm,4759,40.298039,72.670876,Oš,Kyrgyzstan,
Ak-Dôbô,4717,42.54703,71.954735,Talas,Kyrgyzstan,
Ak-Terek,4714,42.2359,77.7295,Ycyk-Kôl,Kyrgyzstan,
Bolʹševik,4682,40.6458,72.89386,Oš,Kyrgyzstan,
Min̦-Čynar,4681,40.27286,71.17323,Batken,Kyrgyzstan,
Tôš,4611,40.872034,72.664926,Žalal-Abad,Kyrgyzstan,
Kolot,4607,40.978321,72.784679,Žalal-Abad,Kyrgyzstan,
Beškent,4601,40.030278,69.818333,Batken,Kyrgyzstan,
Gavrilovka,4590,42.86722,74.35194,Čùj,Kyrgyzstan,
Žan̦y-Maala,4548,40.57039,72.77543,Oš,Kyrgyzstan,
Ken̦eš,4539,40.4927444,72.7092659,Oš City,Kyrgyzstan,
Tokbaj-Talaa,4528,40.558398,73.73528,Oš,Kyrgyzstan,
Kažy-Saj,4521,42.14087,77.18369,Ycyk-Kôl,Kyrgyzstan,
Baš-Kajyn̦dy,4516,41.155136,75.904567,Naryn,Kyrgyzstan,
Kaarman,4487,40.5752,72.90356,Oš,Kyrgyzstan,
Manas,4468,42.485046,72.518609,Talas,Kyrgyzstan,
Žijde,4450,40.840056,72.910334,Žalal-Abad,Kyrgyzstan,
