name,population,latitude,longitude,state,country,percentageOfSessions,,,,
Rio Maior,6306,39.33794618,-8.933611713,,Portugal,,,,,
Caldelas das Taipas,6304,41.49157492,-8.344354483,,Portugal,,,,,
Sobrado,6268,41.21319615,-8.4611653,,Portugal,,,,,
Marinha Grande,6216,39.74834872,-8.929195694,,Portugal,,,,,
Estoril,6185,38.71469761,-9.39744701,,Portugal,,,,,
Pedra Mourinha/Vale Lagar,6184,37.143695,-8.556917442,,Portugal,,,,,
Boa Água,6169,38.55362405,-9.044292656,,Portugal,,,,,
Pombal,6146,39.91520923,-8.629133584,,Portugal,,,,,
Perosinho,6142,41.05797589,-8.587974714,,Portugal,,,,,
Idanha,6139,38.77254928,-9.274285908,,Portugal,,,,,
Seixal,6128,38.64062697,-9.097101467,,Portugal,,,,,
Marinhais,6121,39.04849179,-8.704267532,,Portugal,,,,,
Ílhavo,6097,40.59647384,-8.666216691,,Portugal,,,,,
Ponte de Lima,6072,41.76270573,-8.582540711,,Portugal,,,,,
Mangualde,6061,40.6055251,-7.757809183,,Portugal,,,,,
Ourém,6023,39.65434086,-8.580272508,,Portugal,,,,,
Cidade de Alcobaça,6017,39.54986536,-8.976983046,,Portugal,,,,,
Lagoa,6010,37.13515609,-8.451317404,,Portugal,,,,,
Vila Nova da Telha,6004,41.24893468,-8.676380349,,Portugal,,,,,
Cantanhede,5962,40.35285854,-8.602785206,,Portugal,,,,,
Alcabideche,5810,38.73013772,-9.408993535,,Portugal,,,,,
Reguengos de Monsaraz,5769,38.42518055,-7.536930479,,Portugal,,,,,
Nogueira,5753,41.23501411,-8.585996605,,Portugal,,,,,
Cacilhas,5735,38.68101617,-9.149584355,,Portugal,,,,,
Nogueira da Regedoura,5723,41.00708386,-8.582355704,,Portugal,,,,,
Canedo,5713,41.01978102,-8.446240587,,Portugal,,,,,
Albergaria-a-Velha,5653,40.69331738,-8.477491273,,Portugal,,,,,
Santiago do Cacém,5585,38.0149307,-8.697575625,,Portugal,,,,,
Alto de Algés,5555,38.70543462,-9.232955944,,Portugal,,,,,
Olival,5508,41.05790435,-8.529637687,,Portugal,,,,,
Manique de Baixo,5499,38.73417261,-9.368453937,,Portugal,,,,,
Lobão,5490,40.98492973,-8.494325023,,Portugal,,,,,
São Brás de Alportel,5473,37.15336971,-7.886810949,,Portugal,,,,,
Sandim,5461,41.03215826,-8.503345413,,Portugal,,,,,
Porto Alto,5453,38.91108386,-8.881480464,,Portugal,,,,,
Bobadela,5439,38.81007206,-9.098206898,,Portugal,,,,,
Botequim,5432,38.6288605,-9.203948159,,Portugal,,,,,
Matarraque,5419,38.70795318,-9.352297964,,Portugal,,,,,
Montenegro,5415,37.02908086,-7.960390403,,Portugal,,,,,
Vale de Cambra,5386,40.84704547,-8.391765073,,Portugal,,,,,
Tercena,5373,38.74698657,-9.281584253,,Portugal,,,,,
Santa Cruz do Bispo,5367,41.21584208,-8.674540994,,Portugal,,,,,
Bairro do Rosário,5354,38.69973298,-9.435930277,,Portugal,,,,,
Alpiarça,5350,39.26025748,-8.570069359,,Portugal,,,,,
Alcácer do Sal,5347,38.3812889,-8.513796493,,Portugal,,,,,
São Domingos,5319,39.23868407,-8.704714222,,Portugal,,,,,
Rana,5310,38.69814025,-9.348049881,,Portugal,,,,,
Sobreda,5242,38.6476096,-9.191188293,,Portugal,,,,,
Armação de Pêra,5238,37.10562676,-8.362332182,,Portugal,,,,,
São João da Talha,5187,38.82150235,-9.093142034,,Portugal,,,,,
Sobralinho,5175,38.91284021,-9.022783941,,Portugal,,,,,
Seia,5132,40.41990825,-7.707669593,,Portugal,,,,,
Vila de Alpendorada,5131,41.08633166,-8.249017829,,Portugal,,,,,
Venda do Pinheiro,5121,38.92822672,-9.228380483,,Portugal,,,,,
Mata dos Loios,5106,38.65452187,-9.050929448,,Portugal,,,,,
Lixa,5102,41.3276255,-8.149517916,,Portugal,,,,,
Vila Verde,5033,41.64668363,-8.427441479,,Portugal,,,,,
Almancil,4998,37.08717871,-8.032784053,,Portugal,,,,,
Pinhal do General,4947,38.55483921,-9.062282879,,Portugal,,,,,
Fazendas de Almeirim,4936,39.17706915,-8.582291326,,Portugal,,,,,
Vila de Prado,4895,41.60517378,-8.464990865,,Portugal,,,,,
Tavarede,4883,40.16547631,-8.85017155,,Portugal,,,,,
Ouressa,4827,38.79765617,-9.352499406,,Portugal,,,,,
Tortosendo,4816,40.23593827,-7.518730831,,Portugal,,,,,
Rio Meão,4813,40.95657186,-8.586217527,,Portugal,,,,,
Silveira,4812,39.1183235,-9.367075087,,Portugal,,,,,
Pai do Vento,4785,38.71738123,-9.414519969,,Portugal,,,,,
Paços de Brandão,4775,40.97358686,-8.590571153,,Portugal,,,,,
Brito,4774,41.45574934,-8.363747442,,Portugal,,,,,
Milheirós,4762,41.21863811,-8.586634287,,Portugal,,,,,
Cale da Vila,4759,40.63210748,-8.696858813,,Portugal,,,,,
Santa Maria de Lamas,4747,40.97897942,-8.567532723,,Portugal,,,,,
Nova Oeiras,4741,38.69175888,-9.323042925,,Portugal,,,,,
Monção,4694,42.07369409,-8.481796757,,Portugal,,,,,
Areosa,4676,41.71291628,-8.849228538,,Portugal,,,,,
Vilela,4675,41.24312642,-8.380437573,,Portugal,,,,,
Moreira de Cónegos,4651,41.37935316,-8.34110296,,Portugal,,,,,
Serpa,4623,37.94144293,-7.597932831,,Portugal,,,,,
Bombarral,4607,39.2672641,-9.157942875,,Portugal,,,,,
Casal do Cotão,4590,38.76136096,-9.304716068,,Portugal,,,,,
Lourinhã,4590,39.24268833,-9.309786038,,Portugal,,,,,
Estarreja,4587,40.76429096,-8.569718015,,Portugal,,,,,
Vila Viçosa,4551,38.7777677,-7.417420302,,Portugal,,,,,
São Miguel de Souto,4550,40.89055935,-8.55689944,,Portugal,,,,,
Aljustrel,4545,37.878471,-8.160194159,,Portugal,,,,,
Pragal,4542,38.67374983,-9.170482249,,Portugal,,,,,
Portela da Azóia,4533,38.84081917,-9.099405505,,Portugal,,,,,
Salvaterra de Magos,4522,39.01652643,-8.781807494,,Portugal,,,,,
Ronfe,4496,41.435752,-8.386087374,,Portugal,,,,,
Figueirinha,4481,38.69528811,-9.304761634,,Portugal,,,,,
Alcains,4478,39.9147406,-7.461903016,,Portugal,,,,,
Alhos Vedros,4433,38.65548653,-9.024278313,,Portugal,,,,,
Casal do Marco,4409,38.60468261,-9.083889613,,Portugal,,,,,
Fontaínhas,4404,38.70942044,-9.423004455,,Portugal,,,,,
Foros de Salvaterra,4375,39.00109996,-8.745750519,,Portugal,,,,,
Pendão,4370,38.76680385,-9.254558504,,Portugal,,,,,
Anta,4357,41.0044743,-8.614083484,,Portugal,,,,,
Vilamoura,4353,37.09500856,-8.128164109,,Portugal,,,,,
Vale Cavala,4345,38.61134302,-9.195678468,,Portugal,,,,,
Apúlia,4326,41.48450041,-8.763403663,,Portugal,,,,,
Vila Meã,4323,41.24999793,-8.18890797,,Portugal,,,,,
Castro Verde,4306,37.69859037,-8.086615668,,Portugal,,,,,
Palmela,4254,38.57195992,-8.902252889,,Portugal,,,,,
Torre,4243,38.70702205,-9.443660943,,Portugal,,,,,
Oliveira do Hospital,4237,40.35760988,-7.860436238,,Portugal,,,,,
Póvoa de Lanhoso,4230,41.57684096,-8.270099328,,Portugal,,,,,
Bom Retiro,4170,38.9542526,-9.001381725,,Portugal,,,,,
Santa Iria da Azóia,4158,38.84406215,-9.084608115,,Portugal,,,,,
Amoreira,4144,38.71857542,-9.410002627,,Portugal,,,,,
Alvide,4137,38.71582549,-9.424541707,,Portugal,,,,,
Bairro Gouveia,4125,38.64777885,-9.02459411,,Portugal,,,,,
Olival Basto,4068,38.78968397,-9.166655463,,Portugal,,,,,
Parque dos Poetas,4058,38.70011513,-9.303087787,,Portugal,,,,,
Águeda,4053,40.58048117,-8.445193225,,Portugal,,,,,
Praia,4046,40.95702837,-8.646659059,,Portugal,,,,,
Riachos,4040,39.43947593,-8.507892261,,Portugal,,,,,
Arcos de Valdevez,4029,41.84780969,-8.420136836,,Portugal,,,,,
Sesimbra,4028,38.44570737,-9.101615443,,Portugal,,,,,
Encosta Sul,4022,38.66462955,-9.187051951,,Portugal,,,,,
Frazão,4012,41.26345056,-8.407074997,,Portugal,,,,,
Aguçadoura,4005,41.42736587,-8.778435261,,Portugal,,,,,
Valpaços,3985,41.60704428,-7.310326731,,Portugal,,,,,
Abraveses,3983,40.68506853,-7.920872575,,Portugal,,,,,
Lordelo,3979,41.37188136,-8.376498178,,Portugal,,,,,
Condeixa-a-Nova,3905,40.11704988,-8.498002509,,Portugal,,,,,
Vale Flores,3896,38.64990766,-9.171624309,,Portugal,,,,,
Ferreiras,3884,37.12708273,-8.243361129,,Portugal,,,,,
Vila Praia de Âncora,3845,41.81542681,-8.861303475,,Portugal,,,,,
Paço de Sousa,3821,41.16111048,-8.344193241,,Portugal,,,,,
Vila Chã,3810,38.63512809,-9.039892391,,Portugal,,,,,
Vagos,3792,40.55664761,-8.685301827,,Portugal,,,,,
Abóboda,3765,38.72636925,-9.332992242,,Portugal,,,,,
Nelas,3764,40.53139125,-7.853283121,,Portugal,,,,,
São Tomé de Negrelos,3755,41.34613736,-8.403204795,,Portugal,,,,,
Trafaria,3742,38.66607271,-9.231774338,,Portugal,,,,,
Barroselas,3723,41.64523433,-8.696862641,,Portugal,,,,,
São Paio de Oleiros,3661,40.98778703,-8.597091034,,Portugal,,,,,
Murtal,3643,38.7025978,-9.366180058,,Portugal,,,,,
Abelheira,3623,41.70890276,-8.82201405,,Portugal,,,,,
Bairro da Fraternidade,3611,38.81815595,-9.104613679,,Portugal,,,,,
Folgosa,3605,41.26466148,-8.539095867,,Portugal,,,,,
Vila Nova,3605,38.64121063,-9.211001638,,Portugal,,,,,
Vilarinho,3587,41.36127332,-8.33239587,,Portugal,,,,,
Vila Nogueira de Azeitão,3578,38.52186822,-9.018222466,,Portugal,,,,,
Lourel,3573,38.81284418,-9.366406334,,Portugal,,,,,
Redondo,3573,38.64765958,-7.546347981,,Portugal,,,,,
Borba,3571,38.8054771,-7.456581497,,Portugal,,,,,
Cabeço de Mouro,3559,38.71669489,-9.332792144,,Portugal,,,,,
Anadia,3555,40.44025969,-8.440232936,,Portugal,,,,,
Talaíde,3551,38.73807932,-9.313439202,,Portugal,,,,,
Samouco,3548,38.72230295,-9.000179896,,Portugal,,,,,
Fão,3521,41.51288181,-8.77662297,,Portugal,,,,,
Paço de Arcos,3516,38.69698001,-9.293453894,,Portugal,,,,,
Tondela,3516,40.51589678,-8.080087353,,Portugal,,,,,
Jardins da Parede,3484,38.69582966,-9.36544114,,Portugal,,,,,
Sassoeiros,3477,38.70128364,-9.3286014,,Portugal,,,,,
Cidade Sol,3468,38.63398194,-9.031717112,,Portugal,,,,,
Golegã,3464,39.40691566,-8.48373765,,Portugal,,,,,
Murtosa,3463,40.73850561,-8.641453747,,Portugal,,,,,
Mira de Aire,3441,39.54605338,-8.716508898,,Portugal,,,,,
Quinta de Santo António,3438,38.65299629,-9.240732464,,Portugal,,,,,
Oliveira do Bairro,3425,40.51536699,-8.495303311,,Portugal,,,,,
Penedo,3420,38.7070862,-9.361260846,,Portugal,,,,,
Serzedelo,3418,41.40463874,-8.366757994,,Portugal,,,,,
Belverde,3416,38.58918828,-9.148488234,,Portugal,,,,,
Quinta do Marquês,3412,38.69675094,-9.325621548,,Portugal,,,,,
Ferreira do Alentejo,3394,38.06069644,-8.11619686,,Portugal,,,,,
São Pedro do Estoril,3393,38.6976651,-9.373461458,,Portugal,,,,,
Alcanena,3386,39.45918026,-8.670229232,,Portugal,,,,,
Bairro Doutor Augusto de Castro,3374,38.69581681,-9.308836105,,Portugal,,,,,
Queluz de Baixo,3359,38.74517293,-9.267159272,,Portugal,,,,,
Furadouro,3347,40.87168813,-8.667193833,,Portugal,,,,,
São Torcato,3345,41.48591357,-8.259491369,,Portugal,,,,,
Vieira de Leiria,3341,39.87184638,-8.933146437,,Portugal,,,,,
Pereira,3313,40.18146906,-8.576148056,,Portugal,,,,,
Caparide,3308,38.71709633,-9.362162583,,Portugal,,,,,
Roriz,3308,41.34597502,-8.378258877,,Portugal,,,,,
Viana do Castelo,3297,41.69330079,-8.829792019,,Portugal,,,,,
Areia,3278,41.33047268,-8.730925878,,Portugal,,,,,
Abrunheira,3273,38.77267975,-9.356279099,,Portugal,,,,,
Embra,3270,39.74731719,-8.914367091,,Portugal,,,,,
Paredes,3270,39.04604977,-9.005143634,,Portugal,,,,,
