name,population,latitude,longitude,state,country,status
Vöcklabruck,3845,48.00334,13.65613,Oberösterreich,Austria,
Volders,3844,47.2880024,11.5705942,Tirol,Austria,
Gainfarn,3819,47.9605627,16.2032244,Niederösterreich,Austria,
Wals,3815,47.7904183,12.9682912,Salzburg,Austria,
Sankt Stefan im Rosental,3813,46.9041464,15.7027955,Steiermark,Austria,
Zwettl-Niederösterreich,3808,48.6058353,15.1662692,Niederösterreich,Austria,
Grödig,3803,47.7384287,13.038233,Salzburg,Austria,
Mayrhofen,3793,47.1691898,11.8651456,Tirol,Austria,
Göß,3790,47.3561038,15.1005711,Steiermark,Austria,
Großarl,3784,47.2353436,13.1999511,Salzburg,Austria,
Trumau,3753,47.9933438,16.3427219,Niederösterreich,Austria,
Inzing,3723,47.2725999,11.1957771,Tirol,Austria,
Söll,3720,47.5038387,12.1923691,Tirol,Austria,
Seekirchen am Wallersee,3710,47.9159109,13.1773205,Salzburg,Austria,
Gramatneusiedl,3697,48.029132,16.4895525,Niederösterreich,Austria,
Westendorf,3693,47.432102,12.2142721,Tirol,Austria,
Haidershofen,3691,48.075443,14.4603023,Niederösterreich,Austria,
Neualm,3666,47.6926902,13.0897273,Salzburg,Austria,
Waidhofen an der Ybbs,3665,47.96023,14.77283,Niederösterreich,Austria,
Neufeld an der Leitha,3640,47.8654822,16.3785346,Burgenland,Austria,
Stadl-Traun,3630,48.0808524,13.8669534,Oberösterreich,Austria,
Eisenerz,3609,47.5382867,14.9268484,Steiermark,Austria,
Pichling bei Köflach,3591,47.0487414,15.0760529,Steiermark,Austria,
Gratwein,3587,47.1247637,15.3137932,Steiermark,Austria,
Leitring,3578,46.7795509,15.5591182,Steiermark,Austria,
Ludesch,3575,47.1958295,9.7792691,Vorarlberg,Austria,
Lambach,3571,48.0911828,13.8740023,Oberösterreich,Austria,
Hof bei Salzburg,3570,47.8191185,13.2146863,Salzburg,Austria,
Althofen,3559,46.8697925,14.4767121,Kärnten,Austria,
Pöchlarn,3555,48.2111322,15.2151653,Niederösterreich,Austria,
Tribuswinkel,3539,48.0000833,16.2716993,Niederösterreich,Austria,
Seefeld in Tirol,3516,47.3332519,11.1978873,Tirol,Austria,
Münster,3512,47.4137091,11.8305888,Tirol,Austria,
Kittsee,3506,48.0927458,17.0587372,Burgenland,Austria,
Langholzfeld,3501,48.2422502,14.2436819,Oberösterreich,Austria,
Schwarzach im Pongau,3493,47.319954,13.1496307,Salzburg,Austria,
Tamsweg,3492,47.12955,13.81036,Salzburg,Austria,
Lieboch,3490,46.97416,15.33578,Steiermark,Austria,
Burgfried,3477,47.681453,13.1120699,Salzburg,Austria,
