name,population,state,country,percentageOfSessions,latitude,longitude
Podstepnoe,9562,Batys Qazaqstan,Kazakhstan,null,51.152515,51.49041
Qoiandy,9545,Aqmola,Kazakhstan,null,51.2763122,71.6444549
Lenin,9488,Pavlodar,Kazakhstan,null,52.260372,76.7871707
Badam,9486,Turkıstan,Kazakhstan,null,42.3850468,69.2517633
Rahat,9438,Almaty,Kazakhstan,null,43.375938,77.360413
Belousovka,9434,Şyğys Qazaqstan,Kazakhstan,null,50.1300262,82.5190556
Qaraoi,9420,Almaty,Kazakhstan,null,43.517513,76.830063
Topar,9329,Qarağandy,Kazakhstan,null,49.5172874,72.830423
Jañaqala,9325,Batys Qazaqstan,Kazakhstan,null,49.2136,50.300404
Qainazar,9287,Almaty,Kazakhstan,null,43.368755,77.312263
Qarqaraly,9252,Qarağandy,Kazakhstan,null,49.4124087,75.4704514
Belbūlaq,9127,Almaty,Kazakhstan,null,43.313999,77.102219
Jäirem,9069,Qarağandy,Kazakhstan,null,48.335682,70.161003
Güldala,9041,Almaty,Kazakhstan,null,43.34921,77.05387
Tasqala,9012,Atyrau,Kazakhstan,null,47.0302741,51.9074714
Saiyn Şapağatov,8947,Mañğystau,Kazakhstan,null,43.8385975,51.0315478
Aqtas,8947,Qarağandy,Kazakhstan,null,49.778292,72.9637992
Moiynqūm,8895,Jambyl,Kazakhstan,null,44.28545,72.94297
Aqqystau,8880,Atyrau,Kazakhstan,null,47.224312,51.009457
Osakarovka,8812,Qarağandy,Kazakhstan,null,50.5606688,72.5813736
Borovskoi,8807,Qostanai,Kazakhstan,null,53.8058865,64.1758398
Kegen,8740,Almaty,Kazakhstan,null,43.021698,79.22316
Saryköl,8738,Qostanai,Kazakhstan,null,53.317356,65.546844
Qyrğauyldy,8615,Almaty,Kazakhstan,null,43.1725242,76.758557
Kürşım,8546,Şyğys Qazaqstan,Kazakhstan,null,48.5656876,83.6524237
Qyzyltu,8541,Almaty,Kazakhstan,null,43.4175934,77.0713933
Bulaev,8535,Soltustık Qazaqstan,Kazakhstan,null,54.896652,70.447189
Fort-Şevtşenko,8447,Mañğystau,Kazakhstan,null,44.508556,50.261929
Kökqainar,8330,Almaty,Kazakhstan,null,43.4534417,76.943732
Jıbek Joly,8316,Turkıstan,Kazakhstan,null,41.4758518,69.3658234
Qarajal,8295,Qarağandy,Kazakhstan,null,48.0045008,70.7936243
Abai,8287,Almaty,Kazakhstan,null,43.211494,76.761475
Qyzylqairat,8265,Almaty,Kazakhstan,null,43.303921,77.186073
Tereñköl,8208,Pavlodar,Kazakhstan,null,53.0666191,76.0992584
Qaraşyq,8148,Turkıstan,Kazakhstan,null,43.373813,68.28717
Pidjım,8146,Almaty,Kazakhstan,null,44.212772,80.206566
Şarbaqty,8132,Pavlodar,Kazakhstan,null,52.4894141,78.159375
Sergeev,8132,Soltustık Qazaqstan,Kazakhstan,null,53.880951,67.415863
Tasqala,8118,Batys Qazaqstan,Kazakhstan,null,51.106861,50.291088
Ertıs,8070,Pavlodar,Kazakhstan,null,53.3325963,75.4584153
Talapker,7969,Aqmola,Kazakhstan,null,51.243294,71.165031
Qabanbai batyr,7968,Aqmola,Kazakhstan,null,50.852684,71.354568
Sozaq,7968,Turkıstan,Kazakhstan,null,44.137165,68.466324
Jezkent,7917,Şyğys Qazaqstan,Kazakhstan,null,50.9220353,81.3957353
Gvardeiskii,7898,Jambyl,Kazakhstan,null,43.579205,75.218475
Arşaly,7888,Aqmola,Kazakhstan,null,50.8304142,72.1811626
Qojaqorğan,7863,Turkıstan,Kazakhstan,null,42.5723921,69.7923179
Qoşmämbet,7824,Almaty,Kazakhstan,null,43.340603,76.662842
Baiandy,7758,Mañğystau,Kazakhstan,null,43.7651745,51.3069892
Taukent,7673,Turkıstan,Kazakhstan,null,43.8643366,68.7579489
Jalpaqsai,7669,Almaty,Kazakhstan,null,43.2331192,76.6777355
Şyñğyrlau,7639,Batys Qazaqstan,Kazakhstan,null,51.100506,54.085167
Yntymaq,7614,Turkıstan,Kazakhstan,null,40.7645467,68.3025567
Jänıbek,7586,Batys Qazaqstan,Kazakhstan,null,49.4230074,46.8517166
Miialy,7569,Atyrau,Kazakhstan,null,48.8860423,53.7905551
Buryl,7532,Jambyl,Kazakhstan,null,42.973869,71.423912
Ömırzaq,7510,Mañğystau,Kazakhstan,null,43.5975904,51.2436968
Şaqan,7466,Qarağandy,Kazakhstan,null,49.8186889,72.6548148
Maiqaiyñ,7459,Pavlodar,Kazakhstan,null,51.4632847,75.8041945
İbaata,7435,Turkıstan,Kazakhstan,null,43.3421589,68.6818884
Tüimekent,7405,Jambyl,Kazakhstan,null,43.133675,71.634125
Qazaly,7324,Qyzylorda,Kazakhstan,null,45.76255,62.101181
Qainazar,7303,Almaty,Kazakhstan,null,43.197689,76.268951
Serebriansk,7284,Şyğys Qazaqstan,Kazakhstan,null,49.684608,83.297089
Boranqūl,7277,Mañğystau,Kazakhstan,null,46.206669,54.470436
Sağyz,7249,Atyrau,Kazakhstan,null,48.234829,54.878654
Aqsuat,7183,Şyğys Qazaqstan,Kazakhstan,null,47.7620046,82.8061386
Temırbek Jürgenov,7167,Aqtöbe,Kazakhstan,null,50.4309128,60.4966174
Zerendı,7162,Aqmola,Kazakhstan,null,52.907032,69.150291
Mamliut,7116,Soltustık Qazaqstan,Kazakhstan,null,54.934776,68.545174
Derjavin,7097,Aqmola,Kazakhstan,null,51.0990849,66.3138516
Kenjeköl,7047,Pavlodar,Kazakhstan,null,52.184532,77.027206
Yntymaq,7021,Turkıstan,Kazakhstan,null,41.400131,69.117866
Fedorov,6976,Qostanai,Kazakhstan,null,53.636597,62.699245
Köksu,6972,Turkıstan,Kazakhstan,null,41.473731,68.0232238
Jaña Qaraton,6966,Atyrau,Kazakhstan,null,46.9315613,53.8741897
Raiymbek,6944,Almaty,Kazakhstan,null,43.19762,76.750183
Äitei,6923,Almaty,Kazakhstan,null,43.2321212,76.5978236
Törtkül,6917,Turkıstan,Kazakhstan,null,42.929775,68.946007
Qazaqstannyñ 30 Jyldyğy,6869,Turkıstan,Kazakhstan,null,43.2591888,68.3839149
Jambyl,6864,Jambyl,Kazakhstan,null,42.8676134,73.1551553
Ahmirovo,6851,Şyğys Qazaqstan,Kazakhstan,null,49.9486903,82.5281972
Qūsmūryn,6795,Qostanai,Kazakhstan,null,52.451801,64.615204
Amangeldı,6778,Qostanai,Kazakhstan,null,50.1806755,65.1942135
Bereke,6729,Almaty,Kazakhstan,null,43.373142,76.712074
Şar,6719,Şyğys Qazaqstan,Kazakhstan,null,49.583221,81.050629
Jandosov,6701,Almaty,Kazakhstan,null,43.167881,76.562103
Kışkeneköl,6675,Soltustık Qazaqstan,Kazakhstan,null,53.6357326,72.3411085
Auqatty,6672,Jambyl,Kazakhstan,null,42.894104,75.150894
Yrğyz,6652,Aqtöbe,Kazakhstan,null,48.617874,61.263981
Nūra,6626,Qarağandy,Kazakhstan,null,50.2606707,71.5527472
Qabanbai,6605,Almaty,Kazakhstan,null,45.834267,80.630844
Bırınşı Mamyr,6591,Turkıstan,Kazakhstan,null,42.1006181,69.8821129
Merkı stansasy,6575,Jambyl,Kazakhstan,null,42.8777871,73.2240149
Şortandy,6562,Aqmola,Kazakhstan,null,51.697429,70.9871618
Aqjar,6527,Turkıstan,Kazakhstan,null,41.6035526,69.3463736
Qoram,6479,Almaty,Kazakhstan,null,43.540955,78.169502
Qasym Qaisenov,6465,Şyğys Qazaqstan,Kazakhstan,null,49.8755707,82.4875024
Grodekovo,6461,Jambyl,Kazakhstan,null,42.821964,71.490044
Qabylanbek,6447,Turkıstan,Kazakhstan,null,41.4941447,69.2720994
Qarakemer,6426,Almaty,Kazakhstan,null,43.423302,77.622612
Botaqara,6425,Qarağandy,Kazakhstan,null,50.0596912,73.716709
Amanqarağai,6403,Qostanai,Kazakhstan,null,52.402306,64.081749
Qūrkeles,6389,Turkıstan,Kazakhstan,null,41.4701667,69.1328611
Oiyl,6354,Aqtöbe,Kazakhstan,null,49.0724892,54.662738
Kölıaştşy,6336,Almaty,Kazakhstan,null,43.355598,76.609741
Jüinek,6332,Turkıstan,Kazakhstan,null,43.428551,68.275742
Dostyq,6314,Almaty,Kazakhstan,null,45.256062,82.492783
Dolinka,6304,Qarağandy,Kazakhstan,null,49.6783731,72.6783469
Qoianqūs,6300,Almaty,Kazakhstan,null,43.3923319,76.9400761
Krasnaia Zvezda,6300,Jambyl,Kazakhstan,null,42.92569,71.436531
Baqanas,6288,Almaty,Kazakhstan,null,44.807812,76.274628
Sūltanrabat,6277,Turkıstan,Kazakhstan,null,42.199112,69.801613
Jambyl,6262,Almaty,Kazakhstan,null,43.2743893,76.6727819
Şaryn,6236,Almaty,Kazakhstan,null,43.772888,79.390045
Dınmūhamed Qonaev,6226,Jambyl,Kazakhstan,null,43.631283,73.810638
Mitşurin,6219,Batys Qazaqstan,Kazakhstan,null,51.264679,51.383957
