Name,Latitude,Longitude,Population
Mata Ahogado,8.6270692,-80.0962589,614
Cerro Ceniza,8.3301345,-81.7652673,612
Los Cabezos,8.7896249,-82.4401241,611
Bella Vista,8.8058785,-82.6147298,611
Las Albinas,9.1733153,-79.5791149,610
Paritilla,7.629726,-80.1739644,608
La Pita,8.8157547,-79.8459437,608
Tambo,8.6621786,-80.294205,607
Tobobe,9.1209352,-81.8336939,607
El Valle de La Mina,8.9245354,-79.6547263,605
Toabre,8.6527719,-80.3207514,603
Quebrada Pastor,9.2004132,-82.365694,602
Macano Arriba,8.568593,-82.5714169,601
El Porvenir,8.105076,-81.0038232,601
Nuevo Mexico,8.4170591,-82.7229703,599
Salamanca,9.3343374,-79.60095,598
La Bonita,8.619032,-82.7639256,598
Sora,8.6351321,-80.008985,598
Santa Clara,8.3832202,-80.106969,597
Pena Prieta,8.3667728,-81.710731,596
Turega,8.6115641,-80.1955924,591
Finca 41,9.4909036,-82.6237917,589
El Laguito,9.3486345,-79.8374038,589
Mostrenco,8.3926242,-82.5735062,589
San Antonio,8.7888704,-82.7950812,589
Chorrerita o Monte Lirio,8.4621467,-80.3191369,587
Varital,8.492065,-82.5847278,586
El Alto de Capira,8.7351524,-79.8837319,585
Bahia La Ballena,8.9230859,-82.0757934,584
Guayabal,8.459491,-82.3531458,582
Buen Retiro,8.417738,-80.2346184,581
San Jose,7.9572758,-80.8438487,580
Pilon,7.9567481,-81.0720285,580
La Tollosa,7.9905256,-81.3251334,580
Cerro Mosquito,8.3495482,-81.6877999,579
Finca 61,9.4545588,-82.4769336,578
Jaramillo Abajo,8.7535387,-82.4182827,578
Trinchera,7.7994249,-81.2750442,578
Santa Catalina,7.631699,-81.2537707,578
La Mina,8.9168,-79.6649254,577
El Barrero,8.1564718,-80.6907235,576
Cerro Cabuya,8.548844,-82.5521619,576
Alto Quiel,8.7233234,-82.8886498,576
Nuevo Tonosi,9.5533124,-79.6200726,575
Sabana Grande,7.881794,-80.6378512,574
Akuanusatupu o Corazon de Jesus,9.4462996,-78.5830812,574
Maje,8.7316504,-78.5551219,573
Sofre,8.6206079,-80.2188781,571
Paso Canoas Abajo,8.5103808,-82.8316151,568
Morti,8.8424569,-77.9753908,567
Boca de Soloy,8.4972813,-82.0719568,567
